PID,COMMAND,%CPU,TIME,#TH,#WQ,#PORTS,MEM,PURG,CMPRS,PGRP,PPID,STATE,BOOSTS,%CPU_ME,%CPU_OTHRS,UID,FAULTS,COW,MSGSENT,MSGRECV,SYSBSD,SYSMACH,CSW,PAGEINS,IDLEW,POWER,USER,#MREGS,RPRVT,VPRVT,VSIZE,KPRVT,KSHRD
48446,AppleMobileDevic,0.0,00:00.69,3,1,48,52K,0B,8536K,48440,48440,sleeping,*0[1],0.00000,0.00000,501,15686,165,2014,936,6923,2829,5738,122,44,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
48443,com.apple.MediaL,0.0,00:00.96,2,1,86,3032K,0B,8764K,48443,1,sleeping,0[48],0.00000,0.00000,501,18386,887,2557,1317,30947,6624,9198,1413,190,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
43109,com.apple.Safari,0.0,00:00.21,2,1,40,304K,0B,3732K,43109,1,sleeping,0[75],0.00000,0.00000,501,9017,197,508,176,4312,821,1105,25,7,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
42607,com.apple.Safari,0.0,00:02.11,3,1,60,4964K,0B,3888K,42607,1,sleeping,0[45],0.00000,0.00000,501,29483,823,3919,3423,61363,9326,27001,6,486,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
42605,com.apple.WebKit,0.0,00:01.56,5,2,90,780K,0B,2496K,42605,1,sleeping,*1[1],0.00000,0.00000,501,6454,203,7711,833,54497,28580,44696,9,1465,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
42604,webinspectord,0.0,00:00.81,2,1,54,664K,0B,1708K,42604,1,sleeping,0[1941],0.00000,0.00000,501,7222,163,12206,2722,15047,22911,12443,3,180,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
42550,netbiosd,0.0,00:00.17,2,2,32,192K,0B,2332K,42550,1,sleeping,*0[1],0.00000,0.00000,222,5079,161,232,64,2595,442,1916,105,178,0.0,_netbios,N/A,N/A,N/A,N/A,N/A,N/A
42418,usbmuxd,0.0,00:19.72,3,1,47,804K,0B,1304K,42418,1,sleeping,*0[1],0.00000,0.00000,213,6018,215,564947,350257,284873,1619547,426063,200,3571,0.0,_usbmuxd,N/A,N/A,N/A,N/A,N/A,N/A
42176,applessdstatisti,0.0,00:00.01,2,1,36,8192B,0B,704K,42176,1,sleeping,*0[1],0.00000,0.00000,0,2226,129,135,55,1034,240,293,5,3,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
39903,AssetCacheLocato,0.0,00:00.58,3,1,66,1188K,0B,2368K,39903,1,sleeping,0[121],0.00000,0.00000,235,10576,180,632,1043,40273,2490,13652,24,131,0.0,_assetcache,N/A,N/A,N/A,N/A,N/A,N/A
39620,garcon,0.0,00:03.30,3,1,157,1608K,0B,37M,39620,1,sleeping,*0[1499],0.00000,0.00000,501,37314,267,23776,3938,57001,68378,65837,241,4032,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
37605,com.apple.audio.,0.0,00:00.04,2,2,17,12K,0B,904K,37605,1,sleeping,0[2],0.00000,0.00000,0,4152,136,122,69,883,282,517,0,5,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
37604,com.apple.speech,0.0,00:00.29,2,1,42,12K,0B,14M,37604,1,sleeping,*0[1],0.00000,0.00000,0,14393,243,866,511,7864,2609,3235,3522,24,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
37454,com.apple.Commer,0.0,00:00.13,2,2,37,12K,0B,2900K,37454,1,sleeping,0[0],0.00000,0.00000,501,7789,172,206,200,4776,566,1170,52,17,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
36531,com.apple.CoreSi,0.0,00:00.21,2,2,42,284K,0B,2324K,36531,1,sleeping,0[4],0.00000,0.00000,501,8927,195,328,270,7237,815,2179,47,24,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
29161,reversetemplated,0.0,00:00.32,3,1,44,12K,0B,17M,29161,1,sleeping,0[6],0.00000,0.00000,501,17113,202,849,548,5507,2647,4049,237,26,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
29156,recentsd,0.0,00:02.64,2,1,63,1236K,0B,1336K,29156,1,sleeping,0[17],0.00000,0.00000,501,34051,186,14600,8075,58402,31684,31458,209,1243,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
26574,periodic-wrapper,0.0,00:00.00,2,2,26,8192B,0B,384K,26574,1,sleeping,*0[1],0.00000,0.00000,0,1092,86,87,35,313,181,316,0,2,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
26556,DataDetectorsSou,0.0,00:00.03,2,1,25,8192B,0B,2328K,26556,1,sleeping,0[0],0.00000,0.00000,257,2754,135,85,33,1361,193,108,8,1,0.0,_datadetectors,N/A,N/A,N/A,N/A,N/A,N/A
26525,aslmanager,0.0,00:00.11,2,2,20,12K,0B,792K,26525,1,sleeping,*0[1],0.00000,0.00000,0,4262,127,227,190,2317,688,2036,10,105,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
25848,com.apple.Dictio,0.0,00:00.21,2,2,32,12K,0B,1164K,25848,1,sleeping,0[1],0.00000,0.00000,501,7527,139,677,621,6821,1943,4257,0,51,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
25846,com.apple.WebKit,0.0,00:08.11,4,1,83,1000K,0B,3960K,25846,1,sleeping,*2[1],0.00000,0.00000,501,20564,240,32956,8576,351760,140921,208175,14,9306,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
25845,com.apple.Safari,0.0,00:00.15,2,1,40,12K,0B,1564K,25845,1,sleeping,0[2],0.00000,0.00000,501,12124,196,550,445,3402,2172,2304,2,20,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
25843,com.apple.Safari,0.0,00:00.53,3,1,42,12K,0B,9724K,25843,1,sleeping,0[2],0.00000,0.00000,501,17269,202,703,581,12715,10716,7918,22,57,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
25724,sysdiagnose,0.0,00:00.13,2,2,22,12K,0B,832K,25724,1,sleeping,*0[1],0.00000,0.00000,0,4819,140,240,202,2409,726,1850,51,171,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
19620,com.apple.BKAgen,0.0,00:01.79,2,1,63,20K,0B,32M,19620,1,sleeping,0[38],0.00000,0.00000,501,46665,247,1712,1286,11577,5691,11561,6040,167,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
19618,DiskSpaceEfficie,0.0,00:00.39,2,1,56,12K,0B,2200K,19618,1,sleeping,0[4],0.00000,0.00000,501,14920,186,1199,939,8190,4516,6458,14,94,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
7118,SafariPlugInUpda,0.0,00:00.71,2,2,44,12K,0B,2720K,7118,1,sleeping,*0[1],0.00000,0.00000,501,13305,185,8149,4715,24875,11279,23124,7,175,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
7019,dprivacyd,0.0,00:02.62,2,2,63,36K,0B,5012K,7019,1,sleeping,0[5],0.00000,0.00000,0,33467,246,9404,4746,71032,19298,23492,389,160,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
6600,com.apple.DFRSys,0.0,00:00.35,2,2,37,12K,0B,948K,6600,1,sleeping,0[6],0.00000,0.00000,501,10593,136,544,1136,10933,2393,7540,17,125,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
4919,ssh-agent,0.0,00:00.02,1,0,16,8192B,0B,724K,4919,1,sleeping,*0[1],0.00000,0.00000,501,2015,154,78,27,772,166,221,94,0,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
4831,smd,0.0,00:00.36,2,2,44,580K,0B,1660K,4831,1,sleeping,0[25],0.00000,0.00000,0,12344,174,788,925,13201,2437,7785,9,253,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
4830,writeconfig,0.0,00:00.47,2,2,36,12K,0B,2620K,4830,1,sleeping,0[33],0.00000,0.00000,0,11488,147,1030,734,18197,2738,6736,25,186,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
1428,com.apple.iTunes,0.0,00:01.25,2,2,50,628K,0B,7332K,1428,1,sleeping,0[2],0.00000,0.00000,501,34990,181,700,4628,74037,6059,37541,93,372,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
1425,media-indexer,0.0,00:01.53,2,1,57,32K,0B,7808K,1425,1,sleeping,0[21],0.00000,0.00000,501,69653,200,1246,994,20535,4741,13257,4405,51,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
1422,ProtectedCloudKe,0.0,00:01.62,2,1,66,532K,0B,3096K,1422,1,sleeping,0[26],0.00000,0.00000,501,34879,175,5727,5168,56238,14376,33494,656,372,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
1418,periodic-wrapper,0.0,00:00.03,2,2,25,12K,0B,396K,1418,1,sleeping,*0[1],0.00000,0.00000,0,2045,86,123,60,554,290,488,2,14,0.0,root,N/A,N/A,N/A,N/A,N/A,N/A
1399,cdpd,0.0,00:00.13,2,1,35,12K,0B,1284K,1399,1,sleeping,0[6],0.00000,0.00000,501,7761,170,240,134,2857,596,1324,57,21,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
1398,com.apple.sbd,0.0,00:06.54,3,1,97,4504K,0B,4896K,1398,1,sleeping,0[60],0.00000,0.00000,501,133095,223,8557,17828,268716,45250,121880,470,1747,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
1395,EscrowSecurityAl,0.0,00:00.35,2,1,72,16K,0B,1756K,1395,1,sleeping,0[0],0.00000,0.00000,501,16524,162,1223,947,15535,4872,5518,91,68,0.0,victory2152,N/A,N/A,N/A,N/A,N/A,N/A
